id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0085,5.0,850.0,60.0,100.0,False,False,nominal,0.06285757090909092,14.23,0.045,1.2,240.0,0.3683636363636364,0.8597140626220037,0.82,0.051543208145454544,234.6,16.3216,0.06075,-1.3605136563291949,False
candidate_0086,5.0,850.0,60.0,100.0,False,False,high,0.06634965818181818,14.4,0.045,1.45,240.0,0.3683636363636364,0.8600611111111112,0.82,0.0544067197090909,234.6,16.4916,0.06075,-1.4029451964444446,False
candidate_0087,5.0,850.0,60.0,100.0,False,True,low,0.05727023127272727,13.680000000000001,0.045,1.5,240.0,0.3683636363636364,0.8585321637426901,0.82,0.04696158964363636,234.6,15.771599999999998,0.06075,-1.299460461960234,False
candidate_0088,5.0,850.0,60.0,100.0,False,True,nominal,0.06285757090909092,13.81,0.045,1.7,240.0,0.3683636363636364,0.8588200177005392,0.82,0.051543208145454544,234.6,15.9016,0.06075,-1.3261653192192449,False
candidate_0089,5.0,850.0,60.0,100.0,False,True,high,0.06634965818181818,13.98,0.045,1.95,240.0,0.3683636363636364,0.8591883643299953,0.82,0.0544067197090909,234.6,16.071599999999997,0.06075,-1.3685670419380063,False
candidate_0090,5.0,850.0,60.0,100.0,True,False,low,0.05727023127272727,13.8,0.012,1.7,240.0,0.3683636363636364,0.8850869565217392,0.82,0.04696158964363636,234.6,15.891599999999997,0.016200000000000003,-1.2668837520695653,True
candidate_0091,5.0,850.0,60.0,100.0,True,False,nominal,0.06285757090909092,13.93,0.012,1.9,240.0,0.3683636363636364,0.8853698492462312,0.82,0.051543208145454544,234.6,16.0216,0.016200000000000003,-1.2935955550552765,True
candidate_0092,5.0,850.0,60.0,100.0,True,False,high,0.06634965818181818,14.1,0.012,2.15,240.0,0.3683636363636364,0.8857319148936171,0.82,0.0544067197090909,234.6,16.191599999999998,0.016200000000000003,-1.3360060711489357,True
candidate_0093,5.0,850.0,60.0,100.0,True,True,low,0.05727023127272727,13.38,0.012,2.2,240.0,0.3683636363636364,0.8841354260089687,0.82,0.04696158964363636,234.6,15.471599999999997,0.016200000000000003,-1.2326158947874437,True
candidate_0094,5.0,850.0,60.0,100.0,True,True,nominal,0.06285757090909092,13.51,0.012,2.4000000000000004,240.0,0.3683636363636364,0.8844362694300518,0.82,0.051543208145454544,234.6,15.6016,0.016200000000000003,-1.2593025667979274,True
candidate_0095,5.0,850.0,60.0,100.0,True,True,high,0.06634965818181818,13.68,0.012,2.6500000000000004,240.0,0.3683636363636364,0.8848210526315791,0.82,0.0544067197090909,234.6,15.771599999999998,0.016200000000000003,-1.3016812783157892,True
candidate_0096,5.0,850.0,60.0,200.0,False,False,low,0.052888747636363635,13.475000000000001,0.045,1.0,240.0,0.3401818181818182,0.8580669552669553,0.8199999999999998,0.043368773061818175,234.6,15.566600000000001,0.06075,-1.2328510178262626,False
candidate_0097,5.0,850.0,60.0,200.0,False,False,nominal,0.058048625454545456,13.605,0.045,1.2,240.0,0.3401818181818182,0.858363591816734,0.8199999999999998,0.04759987287272727,234.6,15.6966,0.06075,-1.2604839954565725,False
candidate_0098,5.0,850.0,60.0,200.0,False,False,high,0.06127354909090909,13.775,0.045,1.45,240.0,0.3401818181818182,0.8587430530348861,0.82,0.05024431025454545,234.6,15.8666,0.06075,-1.3034579177511594,False
candidate_0099,5.0,850.0,60.0,200.0,False,True,low,0.052888747636363635,13.055000000000001,0.045,1.5,240.0,0.3401818181818182,0.8570682156687519,0.8199999999999998,0.043368773061818175,234.6,15.146600000000001,0.06075,-1.1986492532637478,False
candidate_0100,5.0,850.0,60.0,200.0,False,True,nominal,0.058048625454545456,13.185,0.045,1.7,240.0,0.3401818181818182,0.8573841486537732,0.8199999999999998,0.04759987287272727,234.6,15.2766,0.06075,-1.2262552158847173,False
candidate_0101,5.0,850.0,60.0,200.0,False,True,high,0.06127354909090909,13.355,0.045,1.95,240.0,0.3401818181818182,0.8577880111485503,0.82,0.05024431025454545,234.6,15.4466,0.06075,-1.2691949763920296,False
candidate_0102,5.0,850.0,60.0,200.0,True,False,low,0.052888747636363635,13.175,0.012,1.7,240.0,0.3401818181818182,0.8836489563567362,0.8199999999999998,0.043368773061818175,234.6,15.2666,0.016200000000000003,-1.1660362163005695,True
candidate_0103,5.0,850.0,60.0,200.0,True,False,nominal,0.058048625454545456,13.305,0.012,1.9,240.0,0.3401818181818182,0.8839591882750845,0.8199999999999998,0.04759987287272727,234.6,15.3966,0.016200000000000003,-1.1936501604148815,True
candidate_0104,5.0,850.0,60.0,200.0,True,False,high,0.06127354909090909,13.475,0.012,2.15,240.0,0.3401818181818182,0.8843558441558442,0.82,0.05024431025454545,234.6,15.5666,0.016200000000000003,-1.2366000101818182,True
candidate_0105,5.0,850.0,60.0,200.0,True,True,low,0.052888747636363635,12.755,0.012,2.2,240.0,0.3401818181818182,0.882603449627597,0.8199999999999998,0.043368773061818175,234.6,14.8466,0.016200000000000003,-1.1318999257213642,True
candidate_0106,5.0,850.0,60.0,200.0,True,True,nominal,0.058048625454545456,12.885,0.012,2.4000000000000004,240.0,0.3401818181818182,0.88293434225844,0.8199999999999998,0.04759987287272727,234.6,14.9766,0.016200000000000003,-1.1594849448381837,True
